geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other,dist_euclidean,dist_bands
S02001581,S02001611,15,0,0,1,12,1,0,0,1,5728.089498235676,"(3,6] km"
S02001581,S02001613,14,0,0,2,11,1,0,0,0,5216.2477788628275,"(3,6] km"
S02001581,S02001615,24,0,0,5,16,1,2,0,0,3609.273382054673,"(3,6] km"
S02001581,S02001616,22,0,0,3,14,1,2,2,0,3826.768884753979,"(3,6] km"
S02001581,S02001619,12,0,0,4,3,2,3,0,0,4471.830202674201,"(3,6] km"
S02001581,S02001620,80,0,0,44,23,5,6,1,1,5149.131046061202,"(3,6] km"
S02001581,S02001621,16,0,0,6,7,0,1,2,0,5701.486679361451,"(3,6] km"
S02001581,S02001622,87,0,1,52,22,3,8,1,0,5988.344165513744,"(3,6] km"
S02001581,S02001623,17,0,0,7,6,1,0,2,1,6184.604297792161,"(6,10] km"
S02001581,S02001627,36,0,0,10,24,0,2,0,0,7038.803698368479,"(6,10] km"
S02001581,S02001647,10,0,0,7,2,0,1,0,0,7363.599925874352,"(6,10] km"
S02001581,S02001653,10,0,0,2,6,0,2,0,0,7465.790478251687,"(6,10] km"
S02001581,S02001656,20,0,0,15,3,0,0,1,1,6389.458883072187,"(6,10] km"
S02001581,S02001660,73,0,3,36,24,1,3,4,2,5066.786540731684,"(3,6] km"
S02001581,S02001663,32,0,0,5,18,3,4,1,1,6150.160979974128,"(6,10] km"
S02001581,S02001667,10,0,0,1,6,1,1,1,0,7806.854438022199,"(6,10] km"
S02001581,S02001679,17,0,0,1,13,1,2,0,0,4767.192161456815,"(3,6] km"
S02001581,S02001682,79,0,0,6,65,4,3,0,1,4575.170943291715,"(3,6] km"
S02001581,S02001683,26,0,0,0,22,1,1,0,2,8441.424705334139,"(6,10] km"
S02001582,S02001577,27,0,0,12,13,0,2,0,0,2934.055244762636,"(1,3] km"
S02001582,S02001582,22,0,0,1,6,0,0,15,0,0,"[0,1] km"
S02001582,S02001583,17,0,0,2,7,0,0,8,0,1230.2609876983026,"(1,3] km"
S02001582,S02001584,36,0,0,9,8,0,0,19,0,668.2148520464737,"[0,1] km"
S02001582,S02001586,42,0,0,17,14,2,2,7,0,1621.9965951690003,"(1,3] km"
S02001582,S02001588,20,0,0,7,8,1,0,4,0,1754.0411055074178,"(1,3] km"
S02001582,S02001589,13,0,0,6,3,2,0,2,0,3229.7668043521535,"(3,6] km"
S02001582,S02001593,13,0,0,6,6,0,0,1,0,2684.6543914558674,"(1,3] km"
S02001582,S02001596,11,0,0,4,5,0,0,2,0,3115.0835746687885,"(3,6] km"
S02001582,S02001615,10,0,0,7,2,0,1,0,0,4948.933913600675,"(3,6] km"
S02001582,S02001616,12,0,0,10,2,0,0,0,0,4777.679708587928,"(3,6] km"
S02001582,S02001619,21,0,0,11,7,2,1,0,0,5009.743882914635,"(3,6] km"
S02001582,S02001620,44,0,0,31,7,0,1,3,2,5934.463611254964,"(3,6] km"
S02001582,S02001622,59,0,5,42,11,0,1,0,0,6917.693952832465,"(6,10] km"
S02001582,S02001623,12,0,0,6,3,0,2,1,0,7225.0711015415645,"(6,10] km"
S02001582,S02001632,10,0,0,3,6,0,0,1,0,11197.779276368108,"(10,15] km"
S02001582,S02001640,14,0,0,10,3,0,0,1,0,9914.04401046565,"(6,10] km"
S02001582,S02001660,33,0,0,22,3,0,5,2,1,5484.498354114197,"(3,6] km"
S02001582,S02001663,12,0,0,5,5,0,2,0,0,5976.238908366021,"(3,6] km"
S02001582,S02001679,18,0,0,5,13,0,0,0,0,3270.3062682801187,"(3,6] km"
S02001582,S02001682,97,0,0,38,39,4,5,10,1,2749.0076246128388,"(1,3] km"
S02001582,S02001683,23,0,0,7,12,1,2,1,0,6283.696134638059,"(6,10] km"
S02001583,S02001577,44,0,0,23,18,1,0,2,0,2880.9285660760424,"(1,3] km"
S02001583,S02001581,12,0,0,5,5,1,0,1,0,3388.5054617120472,"(3,6] km"
S02001583,S02001583,75,0,0,8,8,2,0,56,1,0,"[0,1] km"
S02001583,S02001584,34,0,0,1,9,1,1,22,0,1199.5212430368797,"(1,3] km"
S02001583,S02001585,12,0,0,3,4,2,0,3,0,1131.2549572224507,"(1,3] km"
S02001583,S02001586,76,0,0,8,17,1,3,42,5,1264.0580193588771,"(1,3] km"
S02001583,S02001587,18,0,0,9,7,0,2,0,0,2518.3929109052647,"(1,3] km"
S02001583,S02001588,11,0,0,2,6,0,0,2,1,2155.9890689612707,"(1,3] km"
S02001583,S02001589,35,0,0,17,11,6,1,0,0,3696.427853641278,"(3,6] km"
S02001583,S02001590,21,0,0,12,8,0,1,0,0,4232.04603472953,"(3,6] km"
S02001583,S02001593,20,0,0,12,4,2,0,2,0,3468.92906359957,"(3,6] km"
S02001583,S02001615,22,0,0,11,10,1,0,0,0,5712.0204838983855,"(3,6] km"
S02001583,S02001616,14,0,0,9,4,0,1,0,0,5372.788289295087,"(3,6] km"
S02001583,S02001619,15,0,0,8,5,0,0,2,0,5384.039972559399,"(3,6] km"
S02001583,S02001620,53,0,1,43,3,1,2,2,1,6376.558437872004,"(6,10] km"
S02001583,S02001621,19,0,0,11,4,1,1,2,0,7466.970166915969,"(6,10] km"
S02001583,S02001622,83,0,5,59,15,0,1,2,1,7390.62341945591,"(6,10] km"
S02001583,S02001623,10,0,0,5,5,0,0,0,0,7745.160265689522,"(6,10] km"
S02001583,S02001625,10,0,0,6,3,0,1,0,0,9310.370550530393,"(6,10] km"
S02001583,S02001627,15,0,0,8,6,1,0,0,0,9535.012876690813,"(6,10] km"
S02001583,S02001632,11,0,0,2,8,1,0,0,0,11853.053690424902,"(10,15] km"
S02001583,S02001649,10,0,0,2,8,0,0,0,0,8834.185380396893,"(6,10] km"
S02001583,S02001653,10,0,0,10,0,0,0,0,0,8206.994360994211,"(6,10] km"
S02001583,S02001655,12,0,0,5,6,0,0,0,1,7988.0822442948065,"(6,10] km"
S02001583,S02001656,11,0,0,7,1,0,1,0,2,7166.294849597549,"(6,10] km"
S02001583,S02001660,59,0,0,41,11,5,0,1,1,5761.868818592779,"(3,6] km"
S02001583,S02001663,26,0,0,17,4,2,0,0,3,5892.544650048213,"(3,6] km"
S02001583,S02001670,14,0,0,4,7,1,1,1,0,6688.545291789719,"(6,10] km"
S02001583,S02001675,12,0,0,2,9,1,0,0,0,4071.8836518223743,"(3,6] km"
S02001583,S02001679,10,0,0,4,5,0,0,0,1,2531.653455839786,"(1,3] km"
S02001583,S02001682,226,0,1,60,75,8,5,76,1,1771.963100230945,"(1,3] km"
S02001583,S02001683,33,0,0,9,17,1,3,2,1,5214.17557121992,"(3,6] km"
S02001583,S02001684,27,0,0,4,18,1,4,0,0,7902.974340023839,"(6,10] km"
S02001584,S02001577,13,0,0,7,3,1,1,1,0,3512.815367487974,"(3,6] km"
S02001584,S02001583,28,0,0,3,2,1,2,20,0,1199.5212430368797,"(1,3] km"
S02001584,S02001584,59,0,0,11,8,0,0,39,1,0,"[0,1] km"
S02001584,S02001586,24,0,0,2,4,0,1,16,1,1027.5968886198477,"(1,3] km"
S02001584,S02001587,17,0,0,7,5,0,0,5,0,1801.124644755441,"(1,3] km"
S02001584,S02001588,22,0,0,0,11,0,1,10,0,1144.605483006457,"(1,3] km"
S02001584,S02001589,38,0,0,16,9,4,1,8,0,2678.985070022604,"(1,3] km"
S02001584,S02001590,10,0,0,3,2,1,0,4,0,3303.739797414985,"(3,6] km"
S02001584,S02001591,17,0,0,15,1,0,0,1,0,4088.9030916819916,"(3,6] km"
S02001584,S02001593,10,0,0,4,4,0,0,2,0,2297.87237499777,"(1,3] km"
S02001584,S02001596,13,0,0,10,2,1,0,0,0,3025.619140000857,"(3,6] km"
S02001584,S02001612,10,0,0,7,2,0,1,0,0,6075.185958193265,"(6,10] km"
S02001584,S02001615,18,0,0,8,8,1,0,1,0,4562.270580890108,"(3,6] km"
S02001584,S02001616,12,0,0,7,3,1,0,1,0,4296.921533174835,"(3,6] km"
S02001584,S02001617,15,0,0,11,3,0,0,1,0,4515.869780049156,"(3,6] km"
S02001584,S02001619,11,0,0,9,2,0,0,0,0,4441.010968806934,"(3,6] km"
S02001584,S02001620,23,0,0,16,4,3,0,0,0,5394.104077310348,"(3,6] km"
S02001584,S02001622,73,0,4,60,8,1,0,0,0,6392.602266153616,"(6,10] km"
S02001584,S02001623,12,0,0,9,0,0,3,0,0,6720.064739137536,"(6,10] km"
S02001584,S02001627,18,0,0,11,6,1,0,0,0,8372.13316128159,"(6,10] km"
S02001584,S02001640,12,0,0,6,3,0,2,1,0,9272.139648413868,"(6,10] km"
S02001584,S02001656,19,0,0,18,1,0,0,0,0,6313.566434016979,"(6,10] km"
S02001584,S02001660,39,0,0,24,8,0,3,2,2,4888.814710371219,"(3,6] km"
S02001584,S02001663,14,0,0,11,1,0,2,0,0,5316.605897025291,"(3,6] km"
S02001584,S02001670,20,0,0,14,4,1,0,1,0,6411.201012038543,"(6,10] km"
S02001584,S02001682,130,0,0,48,42,3,9,28,0,2303.6886875970263,"(1,3] km"
S02001584,S02001683,14,0,0,8,4,1,0,0,1,6413.573649666289,"(6,10] km"
S02001585,S02001577,25,0,0,10,11,0,2,2,0,3793.6301850517116,"(3,6] km"
S02001585,S02001583,24,0,0,1,8,0,0,15,0,1131.2549572224507,"(1,3] km"
S02001585,S02001584,27,0,0,1,12,1,0,13,0,518.2015977901814,"[0,1] km"
S02001585,S02001585,24,0,0,1,7,0,0,16,0,0,"[0,1] km"
S02001585,S02001586,79,0,0,7,14,4,0,54,0,509.630712036938,"[0,1] km"
S02001585,S02001587,17,0,0,3,11,1,0,2,0,1463.1519815071297,"(1,3] km"
S02001585,S02001588,27,0,0,0,12,0,0,15,0,1027.8404209259543,"(1,3] km"
S02001585,S02001589,22,0,0,6,13,1,0,2,0,2565.5182006199575,"(1,3] km"
S02001585,S02001590,23,0,0,9,10,0,0,4,0,3117.1153214859723,"(3,6] km"
S02001585,S02001591,17,0,0,9,7,1,0,0,0,3906.156693729941,"(3,6] km"
S02001585,S02001616,13,0,0,7,4,0,0,2,0,4242.606917272166,"(3,6] km"
S02001585,S02001619,19,0,3,10,3,1,1,0,1,4268.6997205922235,"(3,6] km"
S02001585,S02001620,59,0,0,47,8,1,1,2,0,5253.636370614043,"(3,6] km"
S02001585,S02001622,72,0,1,59,7,0,2,1,2,6265.614244510029,"(6,10] km"
S02001585,S02001623,11,0,0,7,3,0,1,0,0,6616.269729938488,"(6,10] km"
S02001585,S02001627,20,0,0,8,10,2,0,0,0,8432.647736934818,"(6,10] km"
S02001585,S02001643,10,0,0,3,5,0,1,1,0,8584.909232013531,"(6,10] km"
S02001585,S02001658,13,0,0,11,1,0,0,1,0,5755.034463949792,"(3,6] km"
S02001585,S02001660,46,0,0,30,8,2,1,3,2,4669.672687622284,"(3,6] km"
S02001585,S02001662,13,0,0,7,5,1,0,0,0,3786.9148763151443,"(3,6] km"
S02001585,S02001663,15,0,0,3,10,0,0,1,1,4952.12581059086,"(3,6] km"
S02001585,S02001670,19,0,0,6,12,1,0,0,0,5960.104798719155,"(3,6] km"
S02001585,S02001679,20,0,0,10,8,1,0,1,0,2178.008595875652,"(1,3] km"
S02001585,S02001681,10,0,0,2,1,1,0,6,0,1282.5460108383627,"(1,3] km"
S02001585,S02001682,219,0,0,45,102,16,7,46,3,1827.769577627454,"(1,3] km"
S02001585,S02001683,31,0,0,5,21,4,0,0,1,6260.731887134522,"(6,10] km"
S02001586,S02001577,27,0,0,12,13,1,1,0,0,4098.486039887325,"(3,6] km"
S02001586,S02001583,14,0,0,2,10,0,1,1,0,1264.0580193588771,"(1,3] km"
S02001586,S02001584,18,0,0,0,6,4,0,8,0,1027.5968886198477,"(1,3] km"
S02001586,S02001586,82,0,0,7,18,4,0,53,0,0,"[0,1] km"
